;2015;2016;2017;2018;2019;2020
NL49002;50.0;51.0;50.0;37.0;31.0;24.0
NL49003;4.5;6.6;5.0;4.1;4.1;2.6
NL49007;37.0;43.0;34.0;32.0;27.0;19.0
NL49012;21.0;23.0;17.0;17.0;18.0;11.0
NL49014;5.0;6.0;4.9;3.8;3.1;2.1
NL49017;19.0;22.0;21.0;17.0;16.0;11.0
NL49019;6.4;8.4;6.3;5.4;5.0;3.0
NL49020;33.0;37.0;31.0;25.0;24.0;15.0 *
NL49021;4.7;6.9;4.9;3.8;3.6;2.3
NL49022;4.6;6.4;5.3;4.0;4.1;2.5
NL49546;12.0;13.0;13.0;11.0 *;10.0;8.0
NL49551;7.6;10.0;8.4;8.5;6.6;5.2
NL49553;7.1;7.3;6.2;5.9;5.7;5.0
NL49561;10.0;13.0;11.0;8.3;8.6;5.4
NL49564;6.1;8.1;7.7;6.2;5.7;2.9
NL49565;6.0;7.9;6.0;4.9;5.2;2.9
NL49701;5.1;7.6;5.6;4.3;4.6;3.3
NL49703;4.5;6.2;4.6;3.9;3.8;2.3
NL49704;10.0;12.0;10.0;10.0;9.4;7.5

Meetpunten van GGD Amsterdam
* = *=  Minder dan 90% van de gekozen periode beschikbaar (uur/dag)
Wijzigingen van eerder gerapporteerde data zie https://www.luchtmeetnet.nl/informatie/download-data/rapportage-correcties
microgram/m3
Export d.d.:                 07-11-2022
